Montycloud DAY2 Well-Architected Assessment Report (Confidential),,,,,,,,,,,,
,,,,,,,,,,,,
Report generated by,daniel.perez6789@gmail.com,,,,,,,,,,,
Report generated at,08 Jul 2024 16:00:35 UTC,,,,,,,,,,,
Workload Name,Test Customer Non-Prod June 2024,,,,,,,,,,,
Review Owner,Daniel Perez,,,,,,,,,,,
Improvement Status,NOT_APPLICABLE,,,,,,,,,,,
,,,,,,,,,,,,
Serial number,Pillar,Severity,Status,Resource ID,Resource Name,Resource Type,Question,Check Title,Check Description,Account Name,Account ID,Region
3497,security,Informational,Passed,,,Lambda,How do you securely operate your workload?,Delete Unused Lambda Functions,"Lambda functions should be deleted after 30 days of no use to reduce unnecessary resources, costs, and potential security risks associated with maintaining unused code. Regularly review and remove unused functions to optimize your serverless environment.",NonProd,,us-east-1
3498,security,Informational,Passed,,,CodeBuildProject,How do you protect your data at rest?,Enable CodeBuild artifact encryption,"Enhance security by enabling encryption for AWS CodeBuild artifacts using customer-managed CMKs. By default, artifacts are encrypted with Amazon S3 managed CMKs, but using a customer-managed CMK provides greater control and flexibility over your data.",NonProd,,us-east-1
3499,costOptimization,Informational,Passed,,,Instance,How do you evaluate cost when you select services?,Use Linux-Powered EC2 Instances,"Utilizing Linux-powered EC2 instances is essential for optimizing costs and minimizing licensing complexities. Linux offers a wide range of open-source tools and flexible configurations, allowing for efficient resource utilization and scalability. It is recommended to leverage Linux-based EC2 instances to maximize performance and cost-effectiveness in your AWS environment.",NonProd,,us-east-1
3500,security,Informational,Passed,,,LoadBalancer,How do you protect your compute resources?,Ensure TLS 1.2 enforcement for all secure listeners,This security check verifies whether secure listeners within the system are configured to enforce the use of TLS 1.2. Ensuring that helps protect against potential vulnerabilities and ensures a higher level of data integrity and confidentiality.,NonProd,,us-east-1
3501,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Restrict Lambda Functions to avoid Admin Privileges for Security,"Ensure Lambda functions are not created with unnecessary administrative privileges using this rule. It verifies that Lambda functions are granted specific permissions required for their tasks, encouraging the creation of IAM policies tailored to these precise permissions, rather than relying on broad administrative access. This practice enhances security by minimizing the scope of permissions granted to Lambda functions.",NonProd,,us-east-1
3502,costOptimization,Informational,Passed,,,Volume,How do you decommission resources?,Delete EBS volumes on instance termination,"Enhance resource management by configuring EBS volumes to be deleted upon instance termination. This prevents the retention of unnecessary volumes when an EC2 instance is removed, reducing costs and clutter.",NonProd,,us-east-1
3503,operationalExcellence,Informational,Passed,,,Topic,How do you manage workload and operations events?,SNS topics should have active subscriptions,"Validating that SNS topics have subscribers with confirmed status ensures that notifications are successfully delivered to the intended recipients, maintaining proper communication and monitoring.",Sandbox,,us-east-1
3504,security,Informational,Passed,,,Snapshot,How do you manage permissions for people and machines?,AWS Elastic Block Store (EBS) volume snapshots must not be publicly shared.,"Identifying and preventing EBS snapshots from being public ensures that data within the snapshot is not exposed to other AWS accounts, thus maintaining data security.",NonProd,,us-east-1
3505,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Restrict Lambda Functions to avoid Admin Privileges for Security,"Ensure Lambda functions are not created with unnecessary administrative privileges using this rule. It verifies that Lambda functions are granted specific permissions required for their tasks, encouraging the creation of IAM policies tailored to these precise permissions, rather than relying on broad administrative access. This practice enhances security by minimizing the scope of permissions granted to Lambda functions.",NonProd,,us-east-1
3506,reliability,Informational,Passed,,,Snapshot,How do you back up data?,AWS Elastic Block Store (EBS) volume snapshots must not be publicly shared.,"Identifying and preventing EBS snapshots from being public ensures that data within the snapshot is not exposed to other AWS accounts, thus maintaining data security.",NonProd,,us-east-1
3507,security,Informational,Passed,,,Lambda,How do you protect your compute resources?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",Sandbox,,us-east-1
3508,operationalExcellence,Informational,Passed,,,Topic,How do you manage workload and operations events?,SNS topics should have active subscriptions,"Validating that SNS topics have subscribers with confirmed status ensures that notifications are successfully delivered to the intended recipients, maintaining proper communication and monitoring.",Sandbox,,us-east-1
3509,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
3510,security,Informational,Passed,,,Snapshot,How do you manage permissions for people and machines?,AWS Elastic Block Store (EBS) volume snapshots must not be publicly shared.,"Identifying and preventing EBS snapshots from being public ensures that data within the snapshot is not exposed to other AWS accounts, thus maintaining data security.",NonProd,,us-east-1
3511,security,Informational,Passed,,,Snapshot,How do you protect your data at rest?,EBS snapshots must be encrypted.,"Encrypting EBS Snapshots is a best practice to meet Security and Compliance requirements, ensuring that sensitive data stored in snapshots is protected from unauthorized access.",NonProd,,us-east-1
3512,costOptimization,Informational,Passed,,,Lambda,How do you decommission resources?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",Sandbox,,us-east-1
3513,operationalExcellence,Informational,Passed,,,Cfn,How do you manage workload and operations events?,Detect and Manage Configuration Drift in CloudFormation Stacks,"CloudFormation stacks should be monitored for configuration drift. Configuration drift arises when the current state of infrastructure resources and their properties deviates from the intended state outlined in your CloudFormation template. Drift monitoring enables the early detection of modifications made to resources outside of CloudFormation, ensuring ongoing consistency and predictability in your infrastructure. Regular drift checks empower you to swiftly pinpoint and address any disparities, safeguarding the integrity and security of your environment.",NonProd,,us-east-1
3514,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets with FULL_CONTROL, READ, or READ_ACP Permissions to Authenticated Users","This check highlights S3 buckets with ACLs granting FULL_CONTROL, READ, or READ_ACP permissions to Authenticated Users. The AUTHENTICATED USERS GROUP represents all AWS accounts, allowing any AWS account access to the resource. PERMISSION READ enables listing objects, reading object data, and metadata. PERMISSION READ_ACP allows reading bucket and object ACLs. PERMISSION FULL_CONTROL grants extensive access, including READ, WRITE, READ_ACP, and WRITE_ACP permissions on the bucket, as well as READ, READ_ACP, and WRITE_ACP permissions on the object. To enhance security, it is advisable to restrict these permissions to specific authorized users or groups.",Sandbox,,us-east-1
3515,security,Informational,Passed,,,RdsSnapshot,How do you manage permissions for people and machines?,Public RDS snapshots.,"Ensuring that AWS RDS database snapshots are not publicly accessible (i.e., not shared with all AWS accounts and users) helps protect private data from being exposed to unauthorized users.",NonProd,,us-east-1
3516,sustainability,Informational,Passed,,,Lambda,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3517,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Restrict Lambda Functions to avoid Admin Privileges for Security,"Ensure Lambda functions are not created with unnecessary administrative privileges using this rule. It verifies that Lambda functions are granted specific permissions required for their tasks, encouraging the creation of IAM policies tailored to these precise permissions, rather than relying on broad administrative access. This practice enhances security by minimizing the scope of permissions granted to Lambda functions.",NonProd,,us-east-1
3518,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3519,reliability,Informational,Passed,,,Snapshot,How do you back up data?,AWS Elastic Block Store (EBS) volume snapshots must not be publicly shared.,"Identifying and preventing EBS snapshots from being public ensures that data within the snapshot is not exposed to other AWS accounts, thus maintaining data security.",NonProd,,us-east-1
3520,sustainability,Informational,Passed,,,Instance,How do you take advantage of user behavior patterns to support your sustainability goals?,Instance in autoscaling group,"Ensuring that every instance is launched within an AWS Auto Scaling Group improves the availability and scalability of your web applications during instance failures or denial-of-service attacks (DoS, DDoS). This practice enhances the resilience of your applications, ensuring they remain operational during periods of high traffic or unexpected failures.",NonProd,,us-east-1
3521,security,Informational,Passed,,,Lambda,How do you manage permissions for people and machines?,Restrict Lambda Functions to avoid Admin Privileges for Security,"Ensure Lambda functions are not created with unnecessary administrative privileges using this rule. It verifies that Lambda functions are granted specific permissions required for their tasks, encouraging the creation of IAM policies tailored to these precise permissions, rather than relying on broad administrative access. This practice enhances security by minimizing the scope of permissions granted to Lambda functions.",NonProd,,us-east-1
3522,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets ACLs with FULL_CONTROL, READ, or READ_ACP Permissions to Public or ALL USERS","This check detects S3 buckets with ACLs that grant FULL_CONTROL, READ, or READ_ACP permissions to ALL USERS. The ALL USERS GROUP allows global access to the resource, potentially exposing sensitive data and enabling unauthorized modifications to the bucket. PERMISSION READ allows listing objects, reading object data, and metadata, while PERMISSION READ_ACP enables reading the bucket and object ACL. PERMISSION FULL_CONTROL grants extensive access. To safeguard data privacy, it is crucial to restrict these permissions to specific authorized principals and groups, avoiding grants to public or ALL USERS.",NonProd,,us-east-1
3523,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Delete Actions from All Principals Without a Condition,"This rule checks if delete actions from all principals are allowed on S3 buckets without a condition. S3 bucket policies that allow delete actions from all principals without a condition should be avoided because they can result in accidental or malicious deletion of critical data. A delete action can remove all objects in the S3 bucket, leading to data loss and potentially causing disruption to business operations. By allowing such actions from all principals without any conditions, the risk of unauthorized deletion increases, and it becomes difficult to track who deleted the data. Therefore, it is recommended to limit delete actions to only authorized principals and enforce conditions such as MFA (Multi-Factor Authentication) or IP address range to ensure that the deletion is intentional and authorized.",NonProd,,us-east-1
3524,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets with FULL_CONTROL, WRITE, or WRITE_ACP Permissions to Public or ALL USERS","This check recognizes S3 buckets with ACLs that grant FULL_CONTROL, WRITE, or WRITE_ACP permissions to everyone. The ALL USERS GROUP access permission allows global access to the resource. PERMISSION WRITE enables creating new objects in the bucket and, for existing objects, allows deletions and overwrites. PERMISSION WRITE_ACP allows writing the ACL for the applicable bucket or object. PERMISSION FULL_CONTROL provides extensive access, including READ, WRITE, READ_ACP, and WRITE_ACP permissions on the bucket, as well as READ, READ_ACP, and WRITE_ACP permissions on the object. To enhance security, it is recommended to restrict these permissions to specific authorized users or groups and avoid granting them to the public or all users.",NonProd,,us-east-1
3525,operationalExcellence,Informational,Passed,,,Topic,How do you manage workload and operations events?,SNS topics should have active subscriptions,"Validating that SNS topics have subscribers with confirmed status ensures that notifications are successfully delivered to the intended recipients, maintaining proper communication and monitoring.",NonProd,,us-east-1
3526,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3527,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3528,costOptimization,Informational,Passed,,,Volume,How do you decommission resources?,Unused EBS volumes must be removed,Identifying and removing unused (unattached) Amazon Elastic Block Store (EBS) volumes can lower the cost of your AWS bill and reduce the risk of confidential and sensitive data leaks.,NonProd,,us-east-1
3529,security,Informational,Passed,,,Snapshot,How do you protect your data at rest?,EBS snapshots must be encrypted.,"Encrypting EBS Snapshots is a best practice to meet Security and Compliance requirements, ensuring that sensitive data stored in snapshots is protected from unauthorized access.",NonProd,,us-east-1
3530,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",Sandbox,,global
3531,performance,Informational,Passed,,,Support,How do you select the appropriate cloud resources and architecture patterns for your workload?,Enable AWS Enterprise Support,"Enabling AWS Enterprise Support provides access to advanced technical support, architectural guidance, and operational best practices tailored to your organization's specific needs. This level of support offers faster response times, proactive monitoring, and personalized assistance from AWS experts, enabling you to optimize performance, mitigate risks, and accelerate innovation with confidence.",NonProd,,global
3532,security,Informational,Passed,,,S3,How do you protect your compute resources?,Static website hosting is disabled on S3 buckets,"A static website on a S3 bucket requires public read access to the bucket. To make bucket publicly readable, you must disable block public access settings for the bucket and write a bucket policy that grants public read access, it has potential risk of exposure when you turn off block public access settings to make your bucket public, anyone on the internet can access your bucket, it is strongly recommended to block public access.",NonProd,,us-east-1
3533,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets with FULL_CONTROL, READ, or READ_ACP Permissions to Authenticated Users","This check highlights S3 buckets with ACLs granting FULL_CONTROL, READ, or READ_ACP permissions to Authenticated Users. The AUTHENTICATED USERS GROUP represents all AWS accounts, allowing any AWS account access to the resource. PERMISSION READ enables listing objects, reading object data, and metadata. PERMISSION READ_ACP allows reading bucket and object ACLs. PERMISSION FULL_CONTROL grants extensive access, including READ, WRITE, READ_ACP, and WRITE_ACP permissions on the bucket, as well as READ, READ_ACP, and WRITE_ACP permissions on the object. To enhance security, it is advisable to restrict these permissions to specific authorized users or groups.",Sandbox,,us-east-1
3534,sustainability,Informational,Passed,,,Lambda,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3535,operationalExcellence,Informational,Passed,,,Cfn,How do you manage workload and operations events?,Detect and Manage Configuration Drift in CloudFormation Stacks,"CloudFormation stacks should be monitored for configuration drift. Configuration drift arises when the current state of infrastructure resources and their properties deviates from the intended state outlined in your CloudFormation template. Drift monitoring enables the early detection of modifications made to resources outside of CloudFormation, ensuring ongoing consistency and predictability in your infrastructure. Regular drift checks empower you to swiftly pinpoint and address any disparities, safeguarding the integrity and security of your environment.",NonProd,,us-east-1
3536,sustainability,Informational,Passed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
3537,costOptimization,Informational,Passed,,,Lambda,How do you evaluate new services?,Invocation Error Monitoring for Functions,"Ensuring that no more than 10% of function invocations result in errors within a 7-day period is crucial for cost optimization. High error rates can lead to unnecessary resource consumption and increased operational costs. Monitoring and addressing errors promptly improves the reliability and efficiency of serverless applications, minimizing associated costs.",NonProd,,us-east-1
3538,reliability,Informational,Passed,,,Snapshot,How do you back up data?,AWS Elastic Block Store (EBS) volume snapshots must not be publicly shared.,"Identifying and preventing EBS snapshots from being public ensures that data within the snapshot is not exposed to other AWS accounts, thus maintaining data security.",NonProd,,us-east-1
3539,security,Informational,Passed,,,Lambda,How do you securely operate your workload?,Delete Unused Lambda Functions,"Lambda functions should be deleted after 30 days of no use to reduce unnecessary resources, costs, and potential security risks associated with maintaining unused code. Regularly review and remove unused functions to optimize your serverless environment.",NonProd,,us-east-1
3540,security,Informational,Passed,,,Snapshot,How do you manage permissions for people and machines?,AWS Elastic Block Store (EBS) volume snapshots must not be publicly shared.,"Identifying and preventing EBS snapshots from being public ensures that data within the snapshot is not exposed to other AWS accounts, thus maintaining data security.",NonProd,,us-east-1
3541,costOptimization,Informational,Passed,,,Lambda,How do you decommission resources?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3542,sustainability,Informational,Passed,,,Lambda,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3543,security,Informational,Passed,,,SecurityGroup,How do you protect your network resources?,Restrict access to WSDCOM-RPC port (tcp135),"For enhanced security, prevent external access to WSDCOM-RPC port (tcp135) via both IPv4 and IPv6 protocols. Achieve this by configuring your security groups to restrict inbound traffic to specific IP ranges or VPNs.",NonProd,,us-east-1
3544,security,Informational,Passed,,,S3,How do you protect your compute resources?,Ensure Amazon S3 Buckets are Privately Configured with Block Public Access,"Take a proactive step to bolster your data security by confirming the activation of Amazon S3 Block Public Access configuration for your S3 buckets. This essential check ensures that your data remains private, reducing the likelihood of unauthorized access, fortifying overall data security, and mitigating potential business risks.",NonProd,,us-east-1
3545,security,Informational,Passed,,,Image,How do you protect your data at rest?,Encrypt Amazon Machine Images (AMIs),"Ensure Amazon Machine Images (AMIs) are encrypted. Encrypting your AMIs adds an extra layer of security, helping to protect the sensitive data stored within the images and meet compliance requirements for data-at-rest encryption. By using encryption, you can prevent unauthorized access to the data within the AMI, ensuring the integrity and confidentiality of your information.",NonProd,,us-east-1
3546,security,Informational,Passed,,,EmrCluster,How do you protect your network resources?,EMR public SG block must be configured for the Account in the region,This rule checks if EMR public Security Group (SG) block is configured for the account in the region. Ensuring proper configuration of security groups can help protect your EMR clusters from unauthorized access and potential attacks.,Sandbox,,us-east-1
3547,operationalExcellence,Informational,Passed,,,Image,"How do you reduce defects, ease remediation, and improve flow into production?",Outdated EC2 AMIs,Verifying that your existing AWS Amazon Machine Images (AMIs) are not older than 180 days helps ensure their reliability and meet security and compliance requirements. Regularly updating AMIs reduces the risk of outdated software and vulnerabilities.,NonProd,,us-east-1
3548,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Delete Actions from All Principals Without a Condition,"This rule checks if delete actions from all principals are allowed on S3 buckets without a condition. S3 bucket policies that allow delete actions from all principals without a condition should be avoided because they can result in accidental or malicious deletion of critical data. A delete action can remove all objects in the S3 bucket, leading to data loss and potentially causing disruption to business operations. By allowing such actions from all principals without any conditions, the risk of unauthorized deletion increases, and it becomes difficult to track who deleted the data. Therefore, it is recommended to limit delete actions to only authorized principals and enforce conditions such as MFA (Multi-Factor Authentication) or IP address range to ensure that the deletion is intentional and authorized.",NonProd,,us-east-1
3549,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Put or Restore Actions from All Principals Without a Condition,"This rule checks if the put action from all principals is allowed on S3 buckets without a condition. Allowing unrestricted put actions can lead to unauthorized users uploading, modifying, or overwriting objects in the S3 bucket. To prevent data tampering and unauthorized changes, it is important to restrict put and restore actions to specific authorized principals and use conditions such as IP address range, MFA, or specific user agents. By controlling access to put and restore actions, we can ensure data integrity and maintain a secure and compliant S3 bucket.",NonProd,,us-east-1
3550,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3551,security,Informational,Passed,,,Snapshot,How do you manage permissions for people and machines?,AWS Elastic Block Store (EBS) volume snapshots must not be publicly shared.,"Identifying and preventing EBS snapshots from being public ensures that data within the snapshot is not exposed to other AWS accounts, thus maintaining data security.",NonProd,,us-east-1
3552,security,Informational,Passed,,,SecurityGroup,How do you protect your compute resources?,Security Groups accept global traffic only from ports 80 and 443,Restricting global access to EC2 instances' well-known ports (except for ports 80 and 443) enhances security by preventing unauthorized access to the instance.,NonProd,,us-east-1
3553,operationalExcellence,Informational,Passed,,,Image,"How do you reduce defects, ease remediation, and improve flow into production?",Outdated EC2 AMIs,Verifying that your existing AWS Amazon Machine Images (AMIs) are not older than 180 days helps ensure their reliability and meet security and compliance requirements. Regularly updating AMIs reduces the risk of outdated software and vulnerabilities.,NonProd,,us-east-1
3554,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Delete Actions from All Principals Without a Condition,"This rule checks if delete actions from all principals are allowed on S3 buckets without a condition. S3 bucket policies that allow delete actions from all principals without a condition should be avoided because they can result in accidental or malicious deletion of critical data. A delete action can remove all objects in the S3 bucket, leading to data loss and potentially causing disruption to business operations. By allowing such actions from all principals without any conditions, the risk of unauthorized deletion increases, and it becomes difficult to track who deleted the data. Therefore, it is recommended to limit delete actions to only authorized principals and enforce conditions such as MFA (Multi-Factor Authentication) or IP address range to ensure that the deletion is intentional and authorized.",NonProd,,us-east-1
3555,security,Informational,Passed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets with FULL_CONTROL, WRITE, or WRITE_ACP Permissions to Public or ALL USERS","This check recognizes S3 buckets with ACLs that grant FULL_CONTROL, WRITE, or WRITE_ACP permissions to everyone. The ALL USERS GROUP access permission allows global access to the resource. PERMISSION WRITE enables creating new objects in the bucket and, for existing objects, allows deletions and overwrites. PERMISSION WRITE_ACP allows writing the ACL for the applicable bucket or object. PERMISSION FULL_CONTROL provides extensive access, including READ, WRITE, READ_ACP, and WRITE_ACP permissions on the bucket, as well as READ, READ_ACP, and WRITE_ACP permissions on the object. To enhance security, it is recommended to restrict these permissions to specific authorized users or groups and avoid granting them to the public or all users.",NonProd,,us-east-1
3556,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3557,security,Informational,Passed,,,SecurityGroup,How do you protect your compute resources?,Security Groups accept global traffic only from ports 80 and 443,Restricting global access to EC2 instances' well-known ports (except for ports 80 and 443) enhances security by preventing unauthorized access to the instance.,NonProd,,us-east-1
3558,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3559,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Do Not Grant Assume Role Permission Across All Services,"AssumeRole within your account is used for cross-account access. To follow the least privilege principle, it is recommended NOT to use AssumeRole across ALL accounts. Limiting the scope of AssumeRole permissions reduces the risk of unauthorized access, enhances security, and ensures that access to AWS resources is granted only to authorized entities.",NonProd,,global
3560,security,Informational,Passed,,,Repository,How do you manage permissions for people and machines?,Securing Private AWS ECR Repositories to Prevent Public Access.,Protecting Private AWS ECR repositories by ensuring that they are not publicly accessible helps prevent exposure of internal Docker images containing confidential business logic. Access control to ECR repositories is governed using resource-based policies.,NonProd,,us-east-1
3561,operationalExcellence,Informational,Passed,,,Image,"How do you reduce defects, ease remediation, and improve flow into production?",Outdated EC2 AMIs,Verifying that your existing AWS Amazon Machine Images (AMIs) are not older than 180 days helps ensure their reliability and meet security and compliance requirements. Regularly updating AMIs reduces the risk of outdated software and vulnerabilities.,NonProd,,us-east-1
3562,costOptimization,Informational,Passed,,,Lambda,How do you evaluate new services?,Timeout Error Monitoring for Functions.,It is recommended to closely monitor functions experiencing a high rate of invocation errors due to timeouts as it indicates potential inefficiencies or bottlenecks in your application's performance. Identifying and addressing these issues promptly can enhance reliability and reduce unnecessary costs by optimizing resource allocation.,Sandbox,,us-east-1
3563,security,Informational,Passed,,,LoadBalancer,How do you protect your compute resources?,Ensure TLS 1.2 enforcement for all secure listeners,This security check verifies whether secure listeners within the system are configured to enforce the use of TLS 1.2. Ensuring that helps protect against potential vulnerabilities and ensures a higher level of data integrity and confidentiality.,NonProd,,us-east-1
3564,security,Informational,Passed,,,S3,How do you protect your compute resources?,Ensure Amazon S3 Buckets are Privately Configured with Block Public Access,"Take a proactive step to bolster your data security by confirming the activation of Amazon S3 Block Public Access configuration for your S3 buckets. This essential check ensures that your data remains private, reducing the likelihood of unauthorized access, fortifying overall data security, and mitigating potential business risks.",Sandbox,,us-east-1
3565,security,Informational,Passed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",Sandbox,,global
3566,security,Informational,Passed,,,Instance,How do you manage permissions for people and machines?,Ensure the Instance profile is attached to EC2 Instances,"This rule checks if roles are attached to EC2 instances. It is recommended to use IAM Roles/Instance Profiles instead of IAM Access Keys to grant access permissions to applications that perform AWS API requests running on Amazon EC2 instances. By using IAM roles, we avoid the need to store and manage long-term credentials on instances, enhancing security and simplifying credential management. Furthermore, roles can automatically rotate credentials, reducing the risk of credential leakage and unauthorized access.",NonProd,,us-east-1
3567,security,Informational,Passed,,,Topic,How do you manage permissions for people and machines?,Restrict SNS topic cross-account access,"Improve security by ensuring your SNS topics only allow access to trusted AWS accounts, protecting against unauthorized cross-account access and potential data breaches.",NonProd,,us-east-1
3568,security,Informational,Passed,,,Lambda,How do you protect your compute resources?,Use AWS Managed Serverless Compute (Lambda),"Using AWS Managed Serverless Compute (Lambda) enables the execution of code without provisioning or managing servers, allowing for highly scalable and cost-effective application development. It is recommended to leverage AWS Lambda to build event-driven architectures, optimize resource usage, and accelerate time-to-market for applications.",NonProd,,us-east-1
3569,performance,Informational,Passed,,,ComputeOptimizer,How do you select the appropriate cloud resources and architecture patterns for your workload?,Use Compute Optimizer,"Leveraging Compute Optimizer enhances the performance and efficiency of your AWS workloads by analyzing resource utilization and providing recommendations for optimization. It evaluates CPU, memory, and storage usage to identify opportunities for resizing or switching instance types, ensuring optimal performance and cost-effectiveness. By utilizing Compute Optimizer, organizations can fine-tune their infrastructure to match workload requirements and eliminate underutilized resources. It is recommended to regularly reviewing Compute Optimizer recommendations and implementing changes to optimize resource utilization and reduce costs.",NonProd,,global
